Timestamp,Open,High,Low,Close,Volume,RSI,MACD,MACD_Signal,BB_Upper,BB_Lower,BB_Width,Log_Returns,ATR,SMA_50,SMA_200,Dist_SMA_200,Vol_Ratio,Rolling_Vol,Ret_Lag_1,RSI_Lag_1,Ret_Lag_2,RSI_Lag_2,Ret_Lag_3,RSI_Lag_3,ROC_3,ROC_5,ROC_10,Signal_Proba
2020-07-19,235.63,239.7,233.24,238.88,251437.0,56.39083139083138,1.4456529467323946,2.1001665890374555,248.7542107691777,221.8477892308223,26.906421538355403,0.013698555654598293,7.457857142857141,236.08460000000002,198.18945,0.18891293154100788,0.725919176340683,0.020219400202781988,0.012426763949335742,57.30315709395208,-0.0036458038624390936,56.67795334838224,-0.021432417155739673,57.314057447213244,-0.0125717638184637,-0.01665136466071282,-0.04603238866396764,0.46574223
2020-07-20,238.94,239.51,234.0,236.12,224826.9,60.642494833740365,1.5129208744462517,1.9827174461192147,248.91520115793026,222.79379884206975,26.121402315860507,-0.011621183418391568,7.455714285714281,235.98860000000002,198.73109999999997,0.20202625557851808,0.9723277157058342,0.020258741996717667,0.013698555654598293,56.39083139083138,0.012426763949335742,57.30315709395208,-0.0036458038624390936,56.67795334838224,0.022734084000513688,-0.006157430520885465,-0.012566137566137559,0.8819668
2020-07-21,236.11,246.7,235.62,245.41,346121.1,43.345280764635596,1.3282114631172703,1.851816249518826,248.51560107122657,224.24639892877343,24.26920214245314,0.03859013087032303,6.758571428571423,236.0808,199.27585,0.18489019115964134,0.8676855297250168,0.02032056046624482,-0.011621183418391568,60.642494833740365,0.013698555654598293,56.39083139083138,0.012426763949335742,57.30315709395208,0.014609831557236275,-0.010518375728114648,-0.020858386896122738,0.7484224
2020-07-22,245.46,270.82,241.39,264.03,458343.3,56.13999181334425,1.9094424204735958,1.8633414837097801,249.59348373514672,224.61551626485328,24.977967470293436,0.07313245181101836,6.874999999999994,236.0136,199.83135000000001,0.2280855831680063,1.3115344411593455,0.02140437922024051,0.03859013087032303,43.345280764635596,-0.011621183418391568,60.642494833740365,0.013698555654598293,56.39083139083138,0.041505750541102504,0.05069144153786875,0.026347706076701005,0.93672484
2020-07-23,264.01,280.47,259.91,275.38,855130.1,64.21773250960092,3.828418897941077,2.2563569665560395,255.41246091868112,222.5525390813189,32.85992183736221,0.04208922896239632,8.184999999999997,236.54039999999998,200.48065000000003,0.3169849559047217,1.706105191344346,0.025831893166007477,0.07313245181101836,56.13999181334425,0.03859013087032303,43.345280764635596,-0.011621183418391568,60.642494833740365,0.10528298727394492,0.1345393606050187,0.08761739990113693,0.8371743
2020-07-24,275.38,287.6,267.86,279.37,832661.2,75.2871825876663,6.19367489711999,3.04382055266883,263.43678426794315,219.56221573205693,43.874568535886226,0.01438510609972944,8.95642857142857,237.15940000000003,201.18099999999998,0.3688171348188945,2.8261718293631324,0.026704547569062594,0.04208922896239632,64.21773250960092,0.07313245181101836,56.13999181334425,0.03859013087032303,43.345280764635596,0.16627138743012027,0.1686966854814751,0.14923629079375678,0.8307427
2020-07-25,279.34,309.85,279.34,305.31,1054351.5,77.54396079561835,8.294503102777298,4.0939570626905235,270.9207555812921,217.110244418708,53.810511162584106,0.08879058575599405,9.919999999999998,237.88039999999998,201.85694999999998,0.3839999068647378,2.4759095295528897,0.026665690527832464,0.01438510609972944,75.2871825876663,0.04208922896239632,64.21773250960092,0.07313245181101836,56.13999181334425,0.1383806690843894,0.16949933020763575,0.1622982193376601,0.6889949
2020-07-26,305.37,322.0,300.0,310.97,1176741.2,85.48456260720413,11.915214624556967,5.658208575063813,285.2413962421476,210.5656037578524,74.67579248429519,0.018368790631919707,11.807857142857145,239.1808,202.66915,0.5064453568784396,2.789451330506335,0.03162460654823558,0.08879058575599405,77.54396079561835,0.01438510609972944,75.2871825876663,0.04208922896239632,64.21773250960092,0.15634586978752418,0.29302896832119263,0.27942840380505385,0.8934388
2020-07-27,310.91,334.2,310.91,322.07,1613744.4,85.79074404449577,15.067678470685678,7.540102554188186,297.980921999744,204.75407800025596,93.22684399948804,0.03507246871882081,12.835714285714287,240.5578,203.52055000000001,0.5279538110524957,2.8137464647823847,0.029779499588485726,0.018368790631919707,85.48456260720413,0.08879058575599405,77.54396079561835,0.01438510609972944,75.2871825876663,0.12923959619434977,0.2671447781264009,0.3313781735668109,0.5112755
2020-07-28,322.14,327.0,306.0,316.74,774106.2,89.9273607748184,18.251316202317184,9.682345283813985,311.38587271198776,199.61512728801213,111.77074542397563,-0.016687665159110594,13.921428571428569,242.1094,204.4425,0.5753573743228536,3.331264931459876,0.029707071896714028,0.03507246871882081,85.79074404449577,0.018368790631919707,85.48456260720413,0.08879058575599405,77.54396079561835,0.15284389877223759,0.21982350490474567,0.38393777930560335,0.86833656
